docno_init,query,doc_text
ROUND-00-034-00,34,"The biggest wireless carrier in United States, Verizon Wireless operates a robust and far-reaching 4G LTE network and a strong lineup of smartphones, feature phones, and basic handsets. A joint venture between Verizon Communications and Vodafone, Verizon Wireless was formed in 2000 through a merger between GTE Wireless and Bell Atlantic. Things you should know about Verizon Wireless: Verizon has a ""Share Everything"" plan that includes unlimited and text and voice calls for multiple devices plus a monthly allotment of data use (single lines plans are available, as well). The monthly price increases based on the number and type of devices you add to the plan and the amount of data that you elect to use. As a CDMA carrier, Verizon's international coverage is limited to a handful of countries, but it offers dual-mode CDMA/GSM handsets. Verizon offers prepaid plans. Verizon announced Edge, its early upgrade program."
ROUND-00-048-00,48,"Since that start, Wilson has made great advances in changing the way all CB mobile antennas are designed and built. Wilson has become the standard name for performance in mobile antennas. The Wilson line of products has expanded to include antennas designed specifically for the 18 wheel drivers ( the Trucker Series and the FGT-Silver Load Series ), which have become the most recognized name on the road. They are now the most requested line of trucker antennas available. With innovative products, Wilson has become the leader in CB mobile antennas. Wilson continues to offer the highest performances available for your operating enjoyment."
ROUND-00-069-00,69,"SewMachines can look frighteningly complex to those of us who don't know how to use them. However, don't let the fear of an unknown machine and skill set keep you from creating glorious textile wonders! Use this step-by-step guide through the anatomy, set-up, and use of a sewMachine so that you can begin crafting your own hand-made items. Find the power switch. It may seem silly, but locating the power switch is the most important step! This is located in different places depending on the sewing machine you have, but is normally on the right side of the body."
ROUND-00-167-00,167,"The island of Barbados is located at 13.4N and 54.4W and is situated in the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when English Captain, John Powell arrived in 1625, the island was uninhabited and as a result he claimed it for King James I of England. Powell soon returned to England to put the necessary plans in place and subsequently returned to Barbados in February of 1627 at the site which is now known as Holetown."
ROUND-00-180-00,180,"Pod 39 Hotel: In an elegant brick building in Manhattans Murray Hill, this excellent budget option opened following the success of sister hotel, The Pod. It trumps the elder sibling ? now renamed Pod 51 ? as all its rooms are en suite and it has a fabulous brick-pillared rooftop bar serving tacos and a warm atmosphere amid fairylights and stunning views. BKLYN House Hotel : Proclaiming itself ?a Bushwick-inspired hotel?, this no-frills boutique property opened late last year on the fringes of the neighbourhood long dubbed ?the new Williamsburg?"
ROUND-00-182-00,182,"Not sure how to quit smoking cigarettes? Try one of these 20+ ways to stop smoking and start your path towards a healthier, smoke-free life. Make an honest list of all the things you like about smoking. Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the Clinical Psychiatric Research Center at George Washington University Medical Center in Washington, D.C. Think about the list over time, and make changes. If you are brave enough, get feedback from family and friends about things they donate like about your use of cigarettes. When the negative side outweighs the positive side, you are ready to quit."
ROUND-00-193-00,193,"Your Online Discount Dog Poop Cleanup Bags Store: Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need! Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!"
ROUND-00-195-00,195,"Kircher Pressure Washer Spare Parts and Accessories Your Kircher pressure washer is a serious piece of gardening gear, and we are serious about providing all the genuine Kircher pressure washer spares you will ever need. To find the right Kircher parts for your pressure washer, simply select your model from the list to see our complete selection for your machine. We are an approved Kircher dealer, so we also have great deals on new Kircher pressure washers."
ROUND-00-009-00,9,"At ASM Auto Recycling we proudly supply almost any used car parts for any vehicle  and to anywhere in the world! We boast a growing used car parts department which currently stocks over 250,000 guaranteed recycled car parts. All of our recycled car parts are cleaned, tested and covered by our 90-day guarantee. This simply provides customers with peace of mind when fitting used engines or any other car parts to either their own vehicles or damage-repairable vehicles that you may purchase from our online salvage auction. We currently house over 2,000 salvage cars suitable for car parts breaking, ranging from 1991 Polos to 2011 Porsches. If you would like to enquire about our used vehicle parts simply choose one of the following two options: Phone our used car parts sales team directly on 01844 268 940 , or Complete and e-mail the adjacent Parts Enquiry Form."
ROUND-00-017-00,17,"PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday  the Sunday Million! Every week the highlights of the Sunday Million are available on PokerStars.tv. If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must. The buy-in is $215, but this week PokerStars has a special on the Sunday Million Team Online host who just happens to be Mickey 'mement_mori' Petersen, knock him out and you collect a bounty that gives you back your $215 buy-in. If you're playing, the tournament kicks off at 14:30 ET and you could be rubbing virtual elbows with many of the PokerStars Team Online and the pros. Don't be nervous if you are, get in and show them you know how to play!"
ROUND-00-029-00,29,"CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games! With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way. Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system. We're always looking for ways to improve your gaming experience, whether on the latest, or older older gaming systems such as the PS2. To experience all the hidden parts of your games, be sure to visit our PS2 cheats often. Choose the starting letter for the PS2 game you're looking for."
ROUND-00-045-00,45,"This is a list of notable photovoltaics (PV) companies. Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity in 2006 and 2007, to an estimated 7.7 GW. This translates into 1.5 million homes with rooftop photovoltaics feeding into the electricity grid worldwide.During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario has had vast success with the implementation of their feed-in tariff incentive for grid-connected solar systems. Ontario is currently leading the way in North America with this comprehensive renewable energy incentive. Photovoltaics companies include PV capital equipment producers, cell manufacturers, panel manufacturers and installers. The list does not include silicon manufacturing companies."
ROUND-00-059-00,59,"Time for home improvements can often fall pretty far down on the totem pole of priorities. But why should it have to? Even if your days are full of work, sports games for the kids, chores and taking care of the family pets, you can still have time to install a DIY fence and give yourself the privacy and R&R you are so desperately seeking. Our EZ Fence 2 Go fencing system is the easiest way to get the fence of your dreams on your terms. A new generation of do-it-yourself fence kits with easy self-assembly instructions make enclosing your back yard and garden an effortless task. It couldnt be simpler to transform your yard! The Fence Authority offers the EZ Fence 2 Go system in both vinyl and aluminum. For those of you who are looking for a more rustic option, we also offer fences-to-go kits in wood."
ROUND-00-078-00,78,"Check your Body Mass Index (link is external) (BMI) - an indicator of body fat - and see where it fits within the BMI categories. Discuss weight loss with your doctor and decide on a goal. If you have a lot of weight to lose, set a realistic intermediate goal, maybe to lose 10 pounds. Remember that even a small amount of weight loss can lead to big health benefits. Estimate your calorie needs. Using USDA's online Adult Energy Needs and BMI Calculator (link is external), you can determine the number of calories needed each day to maintain your current weight. To lose about 1 pound per week, subtract 500 calories each day from the daily amount. To lose about 2 pounds per week, subtract 1000 calories daily. Score your current food intake and physical activity level using MyPlate SuperTracker."
ROUND-00-098-00,98,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century. About SAT: The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare. About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials. When's the Best Time to Take the SAT? The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year."
